team_name,matches_played,wins,losses,win_rate
PARIVISION,24,16,8,66.67
Team Spirit,29,19,10,65.52
Nigma Galaxy,19,12,7,63.16
Tundra Esports,21,11,10,52.38
Team Liquid,21,11,10,52.38
Team Falcons,23,12,11,52.17
Team Yandex,27,14,13,51.85
BetBoom Team,24,12,12,50.0
LGD Gaming,16,8,8,50.0
EHOME.immortal,16,8,8,50.0
Aurora Gaming,14,7,7,50.0
GamerLegion,14,6,8,42.86
Vici Gaming,14,4,10,28.57
Xtreme Gaming,11,3,8,27.27
L1GA TEAM,10,2,8,20.0
OG,11,2,9,18.18
